com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:04:03,602 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:114) Auto login 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:04:05,588 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:118) Started executing test:testAutoLoginLogout1 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:04:05,591 com.jackfruit.scripts.LoginLogoutTest.testAutoLoginLogout1(LoginLogoutTest.java:9) 
-------- This script will automatically login and logout ----------
 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:04:05,593 com.jackfruit.base.BaseTest.postCondition(BaseTest.java:133) Test is PASSED 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:04:05,593 com.jackfruit.base.BaseTest.postCondition(BaseTest.java:136) Auto logout 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:16:52,899 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:55) Initializing ExtentReport 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:16:53,060 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:60) Initialize Global Variables 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:16:53,070 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:86) 
*********************************** -- START -- *****************************************************
 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:16:53,070 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:87) 
****************************************************************************************
 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:16:53,070 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:90) Opening Browser:chrome 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:17:41,254 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:116) Auto login 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:17:43,151 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:120) Started executing test:testAutoLoginLogout1 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:17:43,154 com.jackfruit.scripts.LoginLogoutTest.testAutoLoginLogout1(LoginLogoutTest.java:9) 
-------- This script will automatically login and logout ----------
 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:17:43,156 com.jackfruit.base.BaseTest.postCondition(BaseTest.java:135) Test is PASSED 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:17:43,157 com.jackfruit.base.BaseTest.postCondition(BaseTest.java:138) Auto logout 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:20:13,596 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:55) Initializing ExtentReport 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:20:13,760 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:60) Initialize Global Variables 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:20:13,772 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:86) 
*********************************** -- START -- *****************************************************
 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:20:13,772 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:87) 
****************************************************************************************
 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:20:13,773 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:90) Opening Browser:chrome 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:20:42,087 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:116) Auto login 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:20:44,512 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:123) Started executing test:testAutoLoginLogout1 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:20:44,518 com.jackfruit.scripts.LoginLogoutTest.testAutoLoginLogout1(LoginLogoutTest.java:9) 
-------- This script will automatically login and logout ----------
 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:20:44,521 com.jackfruit.base.BaseTest.postCondition(BaseTest.java:138) Test is PASSED 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 12:20:44,522 com.jackfruit.base.BaseTest.postCondition(BaseTest.java:141) Auto logout 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 14:44:20,683 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:55) Initializing ExtentReport 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 14:44:20,878 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:60) Initialize Global Variables 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 14:44:20,889 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:86) 
*********************************** -- START -- *****************************************************
 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 14:44:20,893 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:87) 
****************************************************************************************
 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 14:44:20,893 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:90) Opening Browser:chrome 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 14:44:56,907 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:116) Auto login 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 14:44:57,266 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:123) Started executing test:testAutoLoginLogout1 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 14:44:57,270 com.jackfruit.scripts.LoginLogoutTest.testAutoLoginLogout1(LoginLogoutTest.java:9) 
-------- This script will automatically login and logout ----------
 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 14:44:57,274 com.jackfruit.base.BaseTest.postCondition(BaseTest.java:138) Test is PASSED 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 14:44:57,274 com.jackfruit.base.BaseTest.postCondition(BaseTest.java:141) Auto logout 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 14:46:54,450 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:55) Initializing ExtentReport 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 14:46:54,612 com.jackfruit.base.BaseTest.initFrameWork(BaseTest.java:60) Initialize Global Variables 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 14:46:54,622 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:86) 
*********************************** -- START -- *****************************************************
 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 14:46:54,623 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:87) 
****************************************************************************************
 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 14:46:54,623 com.jackfruit.base.BaseTest.initApplication(BaseTest.java:90) Opening Browser:chrome 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 14:47:26,658 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:116) Auto login 
com.jackfruit.scripts.LoginLogoutTest 2018-04-19 14:47:27,670 com.jackfruit.base.BaseTest.preCondition(BaseTest.java:123) Started executing test:testAutoLoginLogout1 
